name,Description
ice prisms,"a fall of unbranched ice crystals, in the form of needles, columns, or plates, often so tiny that they seem to be suspended in the air; these are visible mainly when they glitter in the sunshine (diamond dust); they may then produce a luminous pillar or other halo phenomena; this hydrometeor, which is frequent in polar regions, occurs at very low temperatures and in stable air masses."
ice quake,a shaking of ice caused by crevasse formation or jerky motion.
ice rind,"a brittle, shiny crust of floating ice, formed on a quiet surface by direct freezing or from grease ice, usually in water of low salinity; thickness less than 5 centimeters (2 inches); easily broken by wind or swell, commonly breaking into rectangular pieces."
ice rise,"a mass of ice resting on rock and surrounded either by an ice shelf, or partly by an ice shelf and partly by sea; no rock is exposed and there may be none above sea level; ice rises often have a dome-shaped surface; the largest known is about 100 kilometers (62 miles) across."
ice segregation,"the formation of discrete layers or lenses of segregated ice in freezing mineral or organic soils, as a result of the migration (and subsequent freezing) of pore water."
ice sheet,"a dome-shaped mass of glacier ice that covers surrounding terrain and is greater than 50,000 square kilometers (12 million acres) (e.g., the Greenland and Antarctic ice sheets)."
ice shelf,portion of an ice sheet that spreads out over water.
ice skylight,"from the point of view of the submariner, thin places in the ice canopy, usually less than 1 meter (3.3 feet) thick and appearing from below as relatively light, translucent patches in dark surroundings; the under-surface of an ice skylight is normally flat; ice skylights are called large if big enough for a submarine to attempt to surface through them (120 meters, 131 yards), or small if not."
ice stream,(1) a current of ice in an ice sheet or ice cap that flows faster than the surrounding ice (2) sometimes refers to the confluent sections of a branched-valley glacier (3) obsolete synonym of valley glaciers.
ice vein,an ice-filled crack or fissure in the ground.
ice wall,"an ice cliff forming the seaward margin of an inland ice sheet, ice piedmont or ice rise; the rock basement may be at or below sea level."
ice wedge,"narrow ice mass that is 3 to 4 meters (10 to 13 feet) wide at the ground surface, and extends as much as 10 meters (33 feet) down; a decrease in temperature during the winter leads to ice wedge cracks in the ground around ice wedges; during the summer, these cracks accumulate melt-water and sediment, forming pseudomorphs."
ice worm,an oligochaete worm that lives on temperate glaciers or perennial snow; there are several species that range in color from yellowish-brown to reddish-brown or black; they are usually less than 1 millimeter (0.04 inch) in diameter and average about 3 millimeters (0.1 inch) long; some eat red algae.
ice-bearing permafrost,permafrost that contains ice.
ice-bonded permafrost,ice-bearing permafrost in which the soil particles are cemented together by ice.
ice-cemented glacier,a rock glacier that has interstitial ice a meter or so below the surface.
ice-cored glacier,a rock glacier that has a buried core of ice.
